side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2023-01-21,2023-01-22 00:01:00,2023-01-23 23:00:00,1648.7,1598.89,1680.0,1586.1000000000001,0.01898465457633284,0.2633706070287544,0.03021168193121848,0.007693498402555909,target,False
short,2023-02-02,2023-02-03 00:01:00,2023-02-03 02:16:00,1677.58,1707.48,1700.0,1632.7399999999998,0.013364489323907101,0.3,-0.0178232930769322,-0.00564698792307966,stop,False
short,2023-02-03,2023-02-04 00:01:00,2023-02-10 05:31:00,1664.86,1537.29,1720.0,1554.5799999999997,0.033119901973739596,0.150966630395357,0.07662506156673832,0.011416860718171901,target,False
long,2023-02-10,2023-02-11 00:01:00,2023-02-11 05:41:00,1522.47,1499.81,1504.0,1559.41,0.01213160193632717,0.3,-0.01488370871018807,-0.004765112613056421,stop,False
long,2023-02-11,2023-02-12 00:01:00,2023-02-13 17:19:00,1522.88,1487.84,1485.0,1598.6400000000003,0.024873923093086853,0.2010137275607175,-0.023009035511662224,-0.004826145723336862,stop,False
long,2023-02-14,2023-02-15 00:01:00,2023-02-16 23:46:00,1546.5,1714.13,1460.03,1719.44,0.055913352731975445,0.08942407771481437,0.10839314581312642,0.009603533017231408,target,False
short,2023-02-17,2023-02-18 00:01:00,2023-02-25 00:01:00,1675.8,1600.96,1743.88,1539.6399999999996,0.04062537295620012,0.12307579318448855,0.04465926721565816,0.005373398942420665,time,False
short,2023-03-23,2023-03-24 00:01:00,2023-03-24 02:56:00,1840.51,1798.01,1858.88,1803.7699999999998,0.009980929198972088,0.3,0.02309142574612466,0.006627427723837398,target,False
long,2023-04-27,2023-04-28 00:01:00,2023-05-05 00:01:00,1901.86,1883.49,1782.2,2141.1799999999994,0.06291735458971737,0.07946932976767516,-0.009658965433838373,-0.0008470608390439524,time,False
short,2023-06-22,2023-06-23 00:01:00,2023-06-24 00:09:00,1876.54,1933.19,1933.96,1761.6999999999998,0.03059886812964289,0.1634047370254265,-0.030188538480394822,-0.005096354928596311,stop,False
short,2023-06-24,2023-06-25 00:01:00,2023-07-01 01:27:00,1873.54,1937.6,1937.94,1744.7399999999998,0.034373432112471625,0.1454611801242234,-0.034191957470883994,-0.005119063664596266,stop,False
short,2023-07-01,2023-07-02 00:01:00,2023-07-03 06:26:00,1922.94,1947.09,1948.0,1872.8200000000002,0.013032127887505561,0.3,-0.01255889419326639,-0.004067668257979917,stop,False
long,2023-08-01,2023-08-02 00:01:00,2023-08-08 00:01:00,1834.58,1815.02,1808.0,1887.7399999999998,0.014488329753949094,0.3,-0.010661840857307925,-0.0034985522571923775,stop,False
long,2023-08-08,2023-08-09 00:01:00,2023-08-16 00:01:00,1843.18,1840.8,1798.1,1933.3400000000004,0.02445773066114007,0.2044343389529718,-0.0012912466498118391,-0.0004684094942324946,time,False
long,2023-09-12,2023-09-13 00:01:00,2023-09-20 00:01:00,1603.52,1654.79,1530.56,1749.44,0.04549990021951709,0.10989035087719293,0.03197340850129704,0.003403678728070162,time,False
short,2023-09-30,2023-10-01 00:01:00,2023-10-02 06:18:00,1683.04,1775.53,1695.0,1659.12,0.007106188801216867,0.3,-0.05495413062078147,-0.016786239186234442,stop,False
short,2023-10-02,2023-10-03 00:01:00,2023-10-10 00:01:00,1691.4,1586.1,1785.54,1503.1200000000003,0.05565803476410067,0.08983428935627802,0.06225611919120266,0.005502899936265155,time,False
long,2023-10-10,2023-10-11 00:01:00,2023-10-11 10:35:00,1567.11,1542.81,1543.11,1615.11,0.015314815169324427,0.3,-0.015506250358940932,-0.0049518751076822794,stop,False
long,2023-10-11,2023-10-12 00:01:00,2023-10-12 17:58:00,1560.06,1539.53,1540.86,1598.46,0.012307218953117217,0.3,-0.013159750266015346,-0.0042479250798046035,stop,False
long,2023-10-12,2023-10-13 00:01:00,2023-10-13 00:27:00,1541.01,1531.0,1533.69,1555.6499999999999,0.004750131407323727,0.3,-0.006495739807009682,-0.0022487219421029043,stop,False
long,2023-10-13,2023-10-14 00:01:00,2023-10-16 13:31:00,1539.6,1585.93,1516.11,1586.58,0.01525720966484802,0.3,0.03009223174850617,0.00872766952455185,target,False
short,2023-10-23,2023-10-24 00:01:00,2023-10-24 03:02:00,1676.7,1707.6,1706.21,1617.68,0.017600047712769126,0.284090138935954,-0.01842905707640008,-0.005519603524229078,stop,False
