sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
swing_short,SHORT,2025-05-07 18:30:00,2025-05-08 02:00:00,30,0.3125,0.0026733525960287996,0.125
swing_short,SHORT,2025-06-08 08:15:00,2025-06-10 00:30:00,161,1.6770833333333333,-0.004460432593053885,0.22515424254883
swing_short,SHORT,2025-08-11 18:45:00,2025-08-12 00:15:00,22,0.22916666666666666,-0.0026761500067914684,0.11478420499608488
swing_short,SHORT,2025-08-25 04:15:00,2025-08-28 04:15:00,288,3.0,0.0022263919606353676,0.061311885206886615
swing_short,SHORT,2025-09-04 13:15:00,2025-09-05 20:45:00,126,1.3125,-0.0015238603745944292,0.11608698617506881
swing_short,SHORT,2025-10-15 20:30:00,2025-10-17 15:15:00,171,1.78125,0.0030038488062854394,0.040343731059231405
swing_short,SHORT,2026-01-04 20:45:00,2026-01-05 09:00:00,49,0.5104166666666666,-0.0013645771783034888,0.125
swing_short,SHORT,2026-03-03 10:15:00,2026-03-04 17:00:00,123,1.28125,-0.001508663346917366,0.05336758466131086
swing_short,SHORT,2026-04-11 13:15:00,2026-04-11 23:30:00,41,0.4270833333333333,-0.0009258665852424908,0.125
swing_short,SHORT,2026-07-07 10:30:00,2026-07-10 10:30:00,288,3.0,0.0006119856808958529,0.0925058894747074
swing_short,SHORT,2026-07-23 07:15:00,2026-07-24 21:15:00,152,1.5833333333333333,0.005668199305347062,0.17220890275987646
swing_short,SHORT,2026-07-30 08:45:00,2026-08-02 08:45:00,288,3.0,0.003432040180458975,0.12767897631608466
swing_short,SHORT,2026-08-05 15:30:00,2026-08-05 20:30:00,20,0.20833333333333334,-0.0024928177133349827,0.25
swing_short,SHORT,2026-08-10 08:30:00,2026-08-11 23:45:00,157,1.6354166666666667,0.006465893763857689,0.22491226499051256
